ELE# 1 : 0.25 m
+0.000000e+000 +0.000000e+000 -4.653658e+000 +3.172778e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +6.753442e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 21 : 0.7284 m
+1.348177e+000 +6.800753e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
-3.482005e+000 -1.014723e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -8.548461e-001 +2.731666e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -4.653658e+000 +3.172778e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +7.251190e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 22 : 0.7784 m
+1.174076e+000 +6.293392e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
-3.482005e+000 -1.014723e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -1.087529e+000 +2.890305e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -4.653658e+000 +3.172778e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +7.748937e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 23 : 0.7784 m
+1.174076e+000 +6.293392e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
-3.482005e+000 -1.014723e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -1.087529e+000 +2.890305e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -4.653658e+000 +3.172778e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +7.748937e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 24 : 0.7784 m
+1.174076e+000 +6.293392e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
-3.482005e+000 -1.014723e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -1.087529e+000 +2.890305e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -4.653658e+000 +3.172778e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +7.748937e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 25 : 0.7784 m
+1.174076e+000 +6.293392e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
-3.482005e+000 -1.014723e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -1.087529e+000 +2.890305e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -4.653658e+000 +3.172778e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +7.748937e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 26 : 0.7784 m
+1.174076e+000 +6.293392e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
-3.482005e+000 -1.014723e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -1.087529e+000 +2.890305e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -4.653658e+000 +3.172778e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +7.748937e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 27 : 0.8284 m
+9.999761e-001 +5.786030e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
-3.482005e+000 -1.014723e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -1.320212e+000 +3.048944e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -4.653658e+000 +3.172778e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +8.246685e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 28 : 0.8484 m
+9.303360e-001 +5.583086e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
-3.482005e+000 -1.014723e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -1.413285e+000 +3.112399e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -4.653658e+000 +3.172778e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +8.445784e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 29 : 0.8784 m
+8.258759e-001 +5.278669e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
-3.482005e+000 -1.014723e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -1.552895e+000 +3.207583e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -4.653658e+000 +3.172778e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +8.744433e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 30 : 1.1184 m
+1.181050e-002 +3.048392e-001 -1.109750e-004 +9.128414e-006 +9.688433e-008 +7.449336e-008 
-3.313231e+000 -8.469521e-001 -9.428684e-004 +7.831868e-005 -5.794113e-007 -7.555058e-007 
+7.064504e-005 +1.951070e-005 -2.773468e+000 +4.147227e-001 -4.186589e-004 -3.358264e-004 
+5.879737e-004 +1.611486e-004 -5.534767e+000 +4.670663e-001 -3.547938e-004 +3.190432e-004 
-1.049706e-008 -3.111659e-009 +2.435856e-004 -4.655373e-005 +9.033875e-001 +1.018713e+000 
-8.280907e-008 -2.564482e-008 -4.803588e-004 +3.920617e-005 -8.038968e-001 +2.004230e-001 
ELE# 31 : 1.1484 m
-8.758642e-002 +2.794307e-001 -1.392611e-004 +1.147797e-005 +7.950200e-008 +5.182818e-008 
-3.313231e+000 -8.469521e-001 -9.428684e-004 +7.831868e-005 -5.794113e-007 -7.555058e-007 
+8.828425e-005 +2.434515e-005 -2.939511e+000 +4.287347e-001 -4.293027e-004 -3.262551e-004 
+5.879737e-004 +1.611486e-004 -5.534767e+000 +4.670663e-001 -3.547938e-004 +3.190432e-004 
-1.297014e-008 -3.877538e-009 +2.292398e-004 -4.538285e-005 +8.793792e-001 +1.024699e+000 
-8.280907e-008 -2.564482e-008 -4.803588e-004 +3.920617e-005 -8.038968e-001 +2.004230e-001 
ELE# 32 : 1.15 m
-9.288759e-002 +2.780755e-001 -1.407697e-004 +1.160328e-005 +7.857494e-008 +5.061937e-008 
-3.313231e+000 -8.469521e-001 -9.428684e-004 +7.831868e-005 -5.794113e-007 -7.555058e-007 
+8.922501e-005 +2.460299e-005 -2.948367e+000 +4.294820e-001 -4.298704e-004 -3.257446e-004 
+5.879737e-004 +1.611486e-004 -5.534767e+000 +4.670663e-001 -3.547938e-004 +3.190432e-004 
-1.310204e-008 -3.918385e-009 +2.284747e-004 -4.532040e-005 +8.780988e-001 +1.025018e+000 
-8.280907e-008 -2.564482e-008 -4.803588e-004 +3.920617e-005 -8.038968e-001 +2.004230e-001 
ELE# 33 : 1.2 m
-2.585491e-001 +2.357279e-001 -1.879131e-004 +1.551922e-005 +4.960437e-008 +1.284408e-008 
-3.313231e+000 -8.469521e-001 -9.428684e-004 +7.831868e-005 -5.794113e-007 -7.555058e-007 
+1.186237e-004 +3.266042e-005 -3.225105e+000 +4.528353e-001 -4.476101e-004 -3.097925e-004 
+5.879737e-004 +1.611486e-004 -5.534767e+000 +4.670663e-001 -3.547938e-004 +3.190432e-004 
-1.722384e-008 -5.194850e-009 +2.045649e-004 -4.336892e-005 +8.380850e-001 +1.034994e+000 
-8.280907e-008 -2.564482e-008 -4.803588e-004 +3.920617e-005 -8.038968e-001 +2.004230e-001 
ELE# 34 : 1.2 m
-2.585491e-001 +2.357279e-001 -1.879131e-004 +1.551922e-005 +4.960437e-008 +1.284408e-008 
-3.313231e+000 -8.469521e-001 -9.428684e-004 +7.831868e-005 -5.794113e-007 -7.555058e-007 
+1.186237e-004 +3.266042e-005 -3.225105e+000 +4.528353e-001 -4.476101e-004 -3.097925e-004 
+5.879737e-004 +1.611486e-004 -5.534767e+000 +4.670663e-001 -3.547938e-004 +3.190432e-004 
-1.722384e-008 -5.194850e-009 +2.045649e-004 -4.336892e-005 +8.380850e-001 +1.034994e+000 
-8.280907e-008 -2.564482e-008 -4.803588e-004 +3.920617e-005 -8.038968e-001 +2.004230e-001 
ELE# 35 : 1.3 m
-6.595665e-001 +1.904315e-001 -3.237074e-004 +2.678188e-005 -2.550416e-009 -6.498786e-008 
-4.951395e+000 -8.656941e-002 -1.855737e-003 +1.537952e-004 -4.954544e-007 -8.485443e-007 
+1.527331e-004 +4.198244e-005 -3.170257e+000 +4.159930e-001 -4.011477e-004 -2.245732e-004 
+7.318111e-005 +1.954321e-005 +6.597912e+000 -1.181193e+000 +1.255389e-003 +1.332791e-003 
-2.546745e-008 -7.747781e-009 +1.567454e-004 -3.946596e-005 +7.580574e-001 +1.054946e+000 
-8.280907e-008 -2.564482e-008 -4.803588e-004 +3.920617e-005 -8.038968e-001 +2.004230e-001 
ELE# 36 : 1.3 m
-6.595665e-001 +1.904315e-001 -3.237074e-004 +2.678188e-005 -2.550416e-009 -6.498786e-008 
-4.951395e+000 -8.656941e-002 -1.855737e-003 +1.537952e-004 -4.954544e-007 -8.485443e-007 
+1.527331e-004 +4.198244e-005 -3.170257e+000 +4.159930e-001 -4.011477e-004 -2.245732e-004 
+7.318111e-005 +1.954321e-005 +6.597912e+000 -1.181193e+000 +1.255389e-003 +1.332791e-003 
-2.546745e-008 -7.747781e-009 +1.567454e-004 -3.946596e-005 +7.580574e-001 +1.054946e+000 
-8.280907e-008 -2.564482e-008 -4.803588e-004 +3.920617e-005 -8.038968e-001 +2.004230e-001 
ELE# 37 : 1.335 m
-8.328653e-001 +1.874015e-001 -3.886582e-004 +3.216471e-005 -1.989132e-008 -9.468691e-008 
-4.951395e+000 -8.656941e-002 -1.855737e-003 +1.537952e-004 -4.954544e-007 -8.485443e-007 
+1.552945e-004 +4.266645e-005 -2.939330e+000 +3.746513e-001 -3.572091e-004 -1.779255e-004 
+7.318111e-005 +1.954321e-005 +6.597912e+000 -1.181193e+000 +1.255389e-003 +1.332791e-003 
-2.835271e-008 -8.641306e-009 +1.400086e-004 -3.809993e-005 +7.300478e-001 +1.061929e+000 
-8.280907e-008 -2.564482e-008 -4.803588e-004 +3.920617e-005 -8.038968e-001 +2.004230e-001 
ELE# 38 : 1.335 m
-8.328653e-001 +1.874015e-001 -3.886582e-004 +3.216471e-005 -1.989132e-008 -9.468691e-008 
-4.951395e+000 -8.656941e-002 -1.855737e-003 +1.537952e-004 -4.954544e-007 -8.485443e-007 
+1.552945e-004 +4.266645e-005 -2.939330e+000 +3.746513e-001 -3.572091e-004 -1.779255e-004 
+7.318111e-005 +1.954321e-005 +6.597912e+000 -1.181193e+000 +1.255389e-003 +1.332791e-003 
-2.835271e-008 -8.641306e-009 +1.400086e-004 -3.809993e-005 +7.300478e-001 +1.061929e+000 
-8.280907e-008 -2.564482e-008 -4.803588e-004 +3.920617e-005 -8.038968e-001 +2.004230e-001 
ELE# 39 : 1.37 m
-1.006164e+000 +1.843716e-001 -4.536090e-004 +3.754754e-005 -3.723223e-008 -1.243860e-007 
-4.951395e+000 -8.656941e-002 -1.855737e-003 +1.537952e-004 -4.954544e-007 -8.485443e-007 
+1.578558e-004 +4.335046e-005 -2.708403e+000 +3.333095e-001 -3.132704e-004 -1.312778e-004 
+7.318111e-005 +1.954321e-005 +6.597912e+000 -1.181193e+000 +1.255389e-003 +1.332791e-003 
-3.123797e-008 -9.534832e-009 +1.232717e-004 -3.673389e-005 +7.020381e-001 +1.068912e+000 
-8.280907e-008 -2.564482e-008 -4.803588e-004 +3.920617e-005 -8.038968e-001 +2.004230e-001 
ELE# 40 : 1.37 m
-1.006164e+000 +1.843716e-001 -4.536090e-004 +3.754754e-005 -3.723223e-008 -1.243860e-007 
-4.951395e+000 -8.656941e-002 -1.855737e-003 +1.537952e-004 -4.954544e-007 -8.485443e-007 
+1.578558e-004 +4.335046e-005 -2.708403e+000 +3.333095e-001 -3.132704e-004 -1.312778e-004 
+7.318111e-005 +1.954321e-005 +6.597912e+000 -1.181193e+000 +1.255389e-003 +1.332791e-003 
-3.123797e-008 -9.534832e-009 +1.232717e-004 -3.673389e-005 +7.020381e-001 +1.068912e+000 
-8.280907e-008 -2.564482e-008 -4.803588e-004 +3.920617e-005 -8.038968e-001 +2.004230e-001 
ELE# 41 : 1.47 m
-1.336959e+000 +1.502870e-001 -5.668667e-004 +4.694022e-005 -7.922370e-008 -1.878084e-007 
-1.505472e+000 -5.787364e-001 -3.549701e-004 +2.954293e-005 -3.241881e-007 -3.894145e-007 
